City,Price range per sqft,Avg price per sqft,Price rise
Durgapur,"1,407 - 23,000 / sqft","14,542.83 / sqft",-25.8%
Panipat,"3,752 - 7,200 / sqft","5,256.41 / sqft",137.9%
Raigad,"2,459 - 25,000 / sqft","18,320.75 / sqft",22%
Wayanad,-,-,-
Tirunelveli,"1,917 - 4,796 / sqft","4,747.17 / sqft",-23.4%
Ludhiana,"667 - 11,012 / sqft","6,839.85 / sqft",40.3%
Ernakulam,"3,472 - 7,895 / sqft","5,954.76 / sqft",-
Arambagh,-,-,-
Salem,"5,102 - 8,710 / sqft","6,304.59 / sqft",13.1%
Dindigul,-,-,-
Warangal,"2,900 - 5,000 / sqft","4,865 / sqft",25.3%
Gulbarga,"2,388 - 4,469 / sqft","4,469.27 / sqft",-18.9%
Tirupati,"1,947 - 5,502 / sqft","5,452.64 / sqft",-
Mehsana,"1,337 - 3,158 / sqft","2,952.09 / sqft",247.3%
Thrissur,"2,769 - 8,311 / sqft","6,823.86 / sqft",6.9%
Satara,"1,629 - 6,250 / sqft","5,51.98 / sqft",9.4%
Solapur,"1,998 - 5,922 / sqft","4,146.01 / sqft",-6.8%
Guntur,"1,867 - 24,000 / sqft","14,267.66 / sqft",18.6%
Solan,"2,900 - 68,175 / sqft","36,298.7 / sqft",29.3%
Jhajjar,"2,356 - 5,077 / sqft","4,337.01 / sqft",5.2%
Bulandshahr,-,-,-
Ganjam,-,-,-
Bareilly,"2,632 - 5,913 / sqft","5,579.23 / sqft",-12.5%
Moradabad,"1,453 - 11,628 / sqft","4,139.55 / sqft",-
Almora,-,-,-
Ratnagiri,"2,167 - 5,319 / sqft","4,394.54 / sqft",-6.5%
Mandya,"4,846 / sqft","4,845.81 / sqft",-
Hubli Dharwad,"3,000 - 4,964 / sqft","4,487.91 / sqft",-41.2%
Krishna,"4,123 / sqft","4,122.81 / sqft",-
Valsad,"1,161 - 8,582 / sqft","5,767.93 / sqft",2%
Patiala,-,-,-29%
Rohtak,"5,118 / sqft","5,118.11 / sqft",-22.2%
Bhavnagar,"1,604 - 3,093 / sqft","2,756.86 / sqft",31.7%
Rayagada,-,-,-
Bharuch,"1,250 - 4,270 / sqft","3,733.2 / sqft",94%
Dausa,-,-,-
