City,Price range per sqft,Avg price per sqft,Price rise
Hathras,-,-,-
Deoghar,"3,500 / sqft","3,500 / sqft",-
Jhunjhunu,629 / sqft,628.57 / sqft,-
Sambalpur,"103 - 2,801 / sqft","2,261.74 / sqft",-
Barnala,-,-,-
Bankura,-,-,-
Madhubani,"334 - 1,579 / sqft","1,578.95 / sqft",-
Theni,"1,285 / sqft","1,285 / sqft",-
Hazaribagh,519 / sqft,518.52 / sqft,-
Pali,"1,600 - 3,000 / sqft","3,000 / sqft",-
Banswara,-,-,-
Barmer,300 / sqft,300 / sqft,-
Purulia,-,-,-
Mewat,-,-,-
West Godavari,"918 - 5,909 / sqft","5,909 / sqft",-
Thanjavur,"100 - 13,500 / sqft","13,467.41 / sqft",-29.7%
Dera Bassi,"111 - 15,938 / sqft","13,831.74 / sqft",-3.6%
Sri Ganganagar,"2,400 - 3,167 / sqft","2,946.24 / sqft",-
Hoshangabad,567 / sqft,566.67 / sqft,-
Beed,417 - 551 / sqft,550.96 / sqft,-
Haldwani,"650 - 2,700 / sqft","2,494.62 / sqft",-
Bhiwadi,"778 - 2,500 / sqft","2,315.76 / sqft",20.2%
Aruppukkottai,-,-,-
Bagpat,-,-,-
Balotra,-,-,-
Berhampur,"2,167 / sqft","2,166.67 / sqft",-
Cuttak,-,-,-
Gadag,184 / sqft,183.65 / sqft,-
Gadarwara,-,-,-
Guruvayoor,-,-,-
Hissar,-,-,-
Jalpaiguri,"1,400 / sqft","1,400 / sqft",-
Karwar,382 / sqft,382 / sqft,-
Khambhat,-,-,-
Kulu Manali,"9,857 / sqft","9,857.14 / sqft",-
Kumhari,"756 - 1,500 / sqft","1,446.83 / sqft",-
Mahesana,-,-,-
Mussoorie,178 - 430 / sqft,303.69 / sqft,-
Patan,"222 - 1,000 / sqft","1,000 / sqft",-
Prakasam,"101 - 6,683 / sqft","6,253.7 / sqft",-
Tiruvannamalai,"250 - 7,984 / sqft","7,537.26 / sqft",-
Tumkur,"129 - 3,500 / sqft","2,59.03 / sqft",-
Bagru,-,-,-
Buldana,"1,252 / sqft","1,252.19 / sqft",-
Chhindwara,-,-,-
Adilabad,-,-,-
Amroha,"1,750 / sqft","1,750 / sqft",-
Unnao,"278 - 1,518 / sqft","1,318.99 / sqft",-
Bahraich,599 / sqft,599 / sqft,-
Bhatinda,-,-,-
Bharatpur,"1,500 - 2,500 / sqft","2,500 / sqft",-
Bhiwani,"4,490 / sqft","4,489.8 / sqft",-
Burhanpur,-,-,-
Saran,-,-,-
Davanagere,"278 - 4,463 / sqft","4,18.76 / sqft",-
Dewas,800 - 821 / sqft,814 / sqft,-
Fatehpur,-,-,-
Guna,"833 - 1,500 / sqft","1,500 / sqft",-
Jaunpur,"419 - 10,000 / sqft","3,700 / sqft",-
Karimnagar,"882 - 1,299 / sqft","1,298.91 / sqft",-
Kasaragod,118 - 700 / sqft,505.88 / sqft,-
Khammam,154 - 822 / sqft,655.25 / sqft,-
Khandwa,-,-,-
Malappuram,"100 - 1,837 / sqft","1,836.6 / sqft",-
Morbi,-,-,-
Katni,-,-,-
Purnia,-,-,-
Raichur,"2,500 - 7,857 / sqft","7,857.14 / sqft",-
Rewa,"1,111 - 1,500 / sqft","1,445.45 / sqft",-
Sagar,-,-,-
Satna,191 - 533 / sqft,466.67 / sqft,-
Shivpuri,-,-,-
Suryapet,"722 - 1,831 / sqft","1,276.52 / sqft",-
Thoothukudi,200 / sqft,200 / sqft,-
Vizianagaram,"133 - 19,000 / sqft","17,533.38 / sqft",-
Yamunanagar,"593 - 3,526 / sqft","3,4.19 / sqft",-
Dharuhera,"346 - 31,976 / sqft","30,57.6 / sqft",11.8%
Jind,"1,111 - 1,883 / sqft","1,497.18 / sqft",-
Kaithal,-,-,-
Mithapur,-,-,-
Rupnagar,"74,813 / sqft","74,812.97 / sqft",-
Sitapur,"599 - 1,450 / sqft","1,450 / sqft",-
Kushinagar,"419 - 3,167 / sqft","3,119.27 / sqft",-
Bijapur,313 / sqft,312.5 / sqft,-
Gondia,325 - 850 / sqft,587.5 / sqft,-
Krishnagiri,"320 - 2,367 / sqft","1,855 / sqft",-
Namakkal,"225 - 8,900 / sqft","8,361.88 / sqft",-
Sivaganga,"207 - 1,250 / sqft","1,35.71 / sqft",-
Nilgiris,435 - 950 / sqft,950 / sqft,-
Thiruvananthapuram,"163 - 2,622 / sqft","1,44.25 / sqft",-
Jangaon,"367 - 1,111 / sqft",851.85 / sqft,-
Sangareddy,"101 - 3,667 / sqft","3,666.67 / sqft",-
Sirohi,-,-,-
Aravalli,-,-,-
Dungarpur,-,-,-
Nagaur,"938 - 2,300 / sqft","2,108.33 / sqft",-
Tonk,115 / sqft,114.6 / sqft,-
Jalore,"1,059 - 1,467 / sqft","1,262.75 / sqft",-
Hanumangarh,-,-,-
Himatnagar,109 - 649 / sqft,649 / sqft,-
Gudivada,"106 - 4,396 / sqft","4,395.6 / sqft",-
Dhar,"800 - 2,820 / sqft","2,820 / sqft",-
Jagdalpur,-,-,-
Rajnandgaon,300 - 551 / sqft,551 / sqft,-
Chhota Udepur,-,-,-
Raisen,803 / sqft,803.49 / sqft,-
Morinda,-,-,-
Gondal,-,-,-
Mandsaur,-,-,-
Betul,700 / sqft,700 / sqft,-
Boranada,-,-,-
Surendranagar,-,-,-
Vidisha,650 / sqft,650 / sqft,-
Banaskantha,599 / sqft,599 / sqft,-
Amreli,-,-,-
Peddapalli,-,-,-
Chapra,"500 - 1,833 / sqft","1,792.02 / sqft",-
Yadgir,"1,111 - 1,556 / sqft","1,555.56 / sqft",-
Daman,-,-,-
Karaikudi,-,-,-
Ramgarh,505 / sqft,505.17 / sqft,-
Rajgarh,-,-,-
Chhatarpur,-,-,-
Purba Medinipur,833 / sqft,833.33 / sqft,-
Saharsa,-,-,-
Vaishali,"1,396 / sqft","1,396.03 / sqft",-
Chandauli,"599 - 1,250 / sqft","1,196.08 / sqft",-
Bardhaman,"3,061 / sqft","3,61.22 / sqft",-
Darrang,-,-,-
Gurdaspur,"1,112 / sqft","1,111.85 / sqft",-
Alipurduar,-,-,-
West Medinipur,-,-,-
Damoh,-,-,-
Faridkot,-,-,-
Sangrur,-,-,-
Kapurthala,-,-,-
Bagalkot,-,-,-
Barwani,-,-,-
Khargone,-,-,-
Vyara,-,-,-
Chittaranjan,-,-,-
Mancherial,"1,000 - 12,000 / sqft","12,000 / sqft",-
Jagtial,-,-,-
Jorhat,-,-,-
Narsinghpur,-,-,-
Nagarkurnool,-,-,-
Harda,-,-,-
Agar,889 / sqft,888.89 / sqft,-
Seoni,-,-,-
Dahod,-,-,-
Shajapur,-,-,-
Shahdol,-,-,-
Hoshiarpur,"1,000 / sqft","1,000 / sqft",-
Wanaparthy,-,-,-
Jhalawar,-,-,-
Sawai Madhopur,-,-,-
Tikamgarh,-,-,-
Alirajpur,-,-,-
Balaghat,-,-,-
Ramanagara,-,-,-
Panchmahal,-,-,-
Mandla,-,-,-
Tenkasi,"2,000 / sqft","2,000 / sqft",-
Chittorgarh,-,-,-
Jhabua,-,-,-
Virudhunagar,-,-,-
Mandi,-,-,-
Koppal,"1,000 / sqft","1,000 / sqft",-
North Tripura,-,-,-
Uttara Kannada,-,-,-
Gir Somnath,-,-,-
Thiruvarur,-,-,-
Jogulamba Gadwal,-,-,-
Bhadradri Kothagudem,-,-,-
Muktsar,-,-,-
Mansa,-,-,-
Rajanna Sircilla,-,-,-
Sabarkantha,-,-,-
Tirupathur,-,-,-
Tiruchirapalli,-,-,-
Nagapattinam,-,-,-
Umaria,-,-,-
Lalitpur,-,-,-
Mayiladuthurai,-,-,-
Ariyalur,-,-,-
Kallakurichi,-,-,-
