News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
Smartphone makers will need to raise prices to really benefit from the 5G revolution,2020-01-14,0.5095,1,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,76.15572357177734,161954400
More flows into index funds will mean the large companies get even larger,2020-01-15,0.0,0,77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.82933807373047,121923600
Acquisition of Xnor is latest deal in machine learning race with  Google and Facebook,2020-01-16,0.0,0,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.77921295166016,108829200
Opposing approaches to Microsoft and Apple’s back doors reveal tensions at heart of data protection,2020-01-17,-0.4019,-1,79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.62923431396484,137816400
Opposing approaches to Microsoft and Apple’s back doors reveal tensions at heart of data protection,2020-01-18,-0.4019,-1,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.1031494140625,110843200
"Microsoft’s carbon dating, Google in $1tn club, Logitech’s split keyboard",2020-01-19,0.0,0,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.1031494140625,110843200
"Microsoft’s carbon dating, Google in $1tn club, Logitech’s split keyboard",2020-01-20,0.0,0,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.1031494140625,110843200
Mike Mackenzie’s daily analysis of what’s moving global markets,2020-01-21,0.0,0,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.1031494140625,110843200
Mike Mackenzie’s daily analysis of what’s moving global markets,2020-01-22,0.0,0,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.37840270996094,101832400
Search group’s researchers find security flaws in anti-tracking tool in Safari browser,2020-01-23,0.34,1,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,77.75102233886719,104472000
Search group’s researchers find security flaws in anti-tracking tool in Safari browser,2020-01-24,0.34,1,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,77.5269775390625,146537600
